,Tỉnh thành,Ca nhiễm,Đang điều trị,Hồi phục,Tử vong
0,Hải Dương,775,10,765,0
1,Đà Nẵng,632,167,431,31
2,Hà Nội,487,232,254,0
3,Bắc Giang,341,314,27,0
4,TP. Hồ Chí Minh,273,21,252,0
5,Bắc Ninh,269,241,27,1
6,Khánh Hòa,140,33,107,0
7,Quảng Nam,131,3,115,3
8,Bà Rịa – Vũng Tàu,111,23,88,0
9,Vĩnh Phúc,104,85,19,0
10,Quảng Ninh,90,6,84,0
11,Hưng Yên,66,29,37,0
12,Thái Bình,58,19,39,0
13,Bạc Liêu,52,0,52,0
14,Bình Dương,45,1,44,0
15,Kiên Giang,39,20,19,0
16,Tây Ninh,38,1,37,0
17,Ninh Bình,36,2,34,0
18,Cần Thơ,34,17,17,0
19,Hà Nam,33,25,8,0
20,Hòa Bình,33,8,25,0
21,Đồng Nai,29,7,22,0
22,Phú Yên,29,0,29,0
23,Đồng Tháp,28,0,28,0
24,Gia Lai,27,0,27,0
25,Nam Định,25,7,18,0
26,Thanh Hóa,25,1,24,0
27,Bến Tre,20,0,20,0
28,Điện Biên,20,17,3,0
29,Lạng Sơn,20,16,4,0
30,Vĩnh Long,14,7,7,0
31,Quảng Trị,13,6,6,1
32,Sóc Trăng,13,13,0,0
33,Hà Tĩnh,12,8,4,0
34,Ninh Thuận,12,0,12,0
35,Bình Thuận,11,1,10,0
36,Hải Phòng,10,1,9,0
37,Long An,10,4,6,0
38,An Giang,9,9,0,0
39,Cà Mau,8,0,8,0
40,Tiền Giang,8,2,6,0
41,Trà Vinh,8,0,8,0
42,Quảng Ngãi,7,1,6,0
43,Thừa Thiên – Huế,7,5,2,0
44,Đắk Lắk,6,3,3,0
45,Thái Nguyên,6,2,4,0
46,Nghệ An,5,5,0,0
47,Phú Thọ,5,2,3,0
48,Yên Bái,5,3,2,0
49,Hà Giang,3,1,2,0
50,Lào Cai,2,0,2,0
51,Lai Châu,1,0,1,0